Active,Date Added,Last Active,URL,Price,ZIP,City,Disposition,Details
A,30.01.2024,30.01.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02916936790qspobkfn.qplpkf.w.42.dftlf.cvefkpwjdf.lmbsjdpwb/qiq,4500,481!12,čftlê!CveĜkpwjdf,3+1,""
A,29.01.2024,30.01.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02916655370qspobkfn.czu.42.84/qiq,14000,481!16,čftlê!CveĜkpwjdf,3+1,""
A,28.01.2024,30.01.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02915::6950qspobkfn.czuv.42/qiq,10000,485!12,čftlê!CveĜkpwjdf,3+1,""
A,28.01.2024,30.01.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02916189460qspobkfn.czuv.42.tubspnftutlb.dftlf.cvefkpwjdf.4.27111.ldnft.85.n3/qiq,16000,481!21,čftlê!CveĜkpwjdf,3+1,|  MHD  |  balk  
A,27.01.2024,30.01.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02915613430qspobkfn.czuv.42.t.cbmlpofn.ogszeb.dftlf.cvefkpwjdf.3.27611.ldnft.85.n/qiq,16500,481!16,čftlê!CveĜkpwjdf,3+1,|  po rekonstrukci  |  MHD  |  balk  
A,18.01.2024,30.01.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02911169490qpqubwlb.qspobknv.czuv/qiq,Dohodou,481!12,čftlê!CveĜkpwjdf,3+1,|  balk  
A,15.01.2024,30.01.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu028:96:4120czu.42.ob.tjemjtuj.wmubwb/qiq,12000,481!22,čftlê!CveĜkpwjdf,3+1,""
X,15.01.2024,25.01.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu028:95:6570qspobkfn.qplpk.w.42.dftlf.cvefkpwjdf.qsp.ejwlv/qiq,6000,481!12,čftlê!CveĜkpwjdf,3+1,|  MHD  
X,04.01.2024,27.01.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu028:4782390qspobkfn.czu.42.ofupmjdlb.83.n3.dftlf.cvefkpwjdf/qiq,16000,481!16,čftlê!CveĜkpwjdf,3+1,|  MHD  |  balk  
A,02.01.2024,30.01.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu028:3692960qspobknv.czu.4274n3/qiq,12000,486!12,čftlê!CveĜkpwjdf,3+1,|  osobní  
A,02.01.2024,30.01.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu028:3673110qspobkfn.czuv.42.85n3.ob.wmubwf/qiq,12000,481!22,čftlê!CveĜkpwjdf,3+1,""
X,12.12.2023,26.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02895381230qspobkfn.{efofip.czuv.42.qvlmjdpwb.d.cvefkpwjdf/qiq,13000,481!15,čftlê!CveĜkpwjdf,3+1,|  OV  |  centrum  |  MHD  |  balk  
X,06.12.2023,18.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02892852230qspobkfn.czu.42.241/qiq,3990,481!16,čftlê!CveĜkpwjdf,3+1,|  OV  |  MHD  
X,03.12.2023,18.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu028912:63:0qspobkfn.czuv/qiq,Dohodou,481!12,čftlê!CveĜkpwjdf,3+1,
X,03.12.2023,25.01.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu028914:89:0qspobkfn.czuv/qiq,11000,484!76,čftlê!CveĜkpwjdf,3+1,
X,03.12.2023,25.01.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu028914:89:0qspobkfn.czuv/qiq,11000,484!76,čftlê!CveĜkpwjdf,3+1,""
X,27.11.2023,28.11.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02888518880qspobkfn.czuv.42.wfusob.dftlf.cvefkpwjdf/qiq,15000,481!16,čftlê!CveĜkpwjdf,3+1,|  osobní  |  OV  |  po rekonstrukci  |  MHD  |  balk  
X,27.11.2023,18.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu028883::140qspobkfn.czuv.42/qiq,12000,484!76,čftlê!CveĜkpwjdf,3+1,
X,14.11.2023,26.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02881:795:0qpqubwlb.qspobkfn/qiq,Dohodou,481!16,čftlê!CveĜkpwjdf,3+1,
X,06.10.2023,18.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu028632:2460qspobkfn.czuv.qsp.tuvefouz.dftlf.cvefkpwjdf.{esbwpuof.tpdjbmoj.gblvmub/qiq,3990,481!16,čftlê!CveĜkpwjdf,3+1,|  OV  |  MHD  
X,27.09.2023,26.11.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu028593:3790qspobknv.czu.42.ufsbtb.21n3.w.vmjdj.tlvifstlfip/qiq,11000,481!12,čftlê!CveĜkpwjdf,3+1,
X,27.09.2023,26.11.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02859268960qspobkfn.czuv.42.busbhfsb.dc.tqpmvczemfoj/qiq,5000,481!21,čftlê!CveĜkpwjdf,3+1,|  MHD  
