Active,Date Added,Last Active,URL,Price,ZIP,City,Disposition,Details
A,12.12.2023,12.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02895562140qspefk.czuv.32.68.n.opwf.isbez.vm.tjemjtuf.njsv/qiq,3200000,484!44,čftlê!CveĜkpwjdf,2+1,|  osobní  |  balk  
A,11.12.2023,12.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02894:67220qspefk.czuv.32.d.:.k.qmbdiuz.dftlf.cvefkpwjdf/qiq,3400000,481!15,čftlê!CveĜkpwjdf,2+1,|  osobní  |  OV  |  centrum  
A,08.12.2023,12.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu028936961:0qspefk.czu.32.tfwfujo/qiq,1,484!74,čftlê!CveĜkpwjdf,2+1,|  osobní  |  balk  
A,06.12.2023,12.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0289266:610qspefk.czuv.32.72.n.dftlf.cvefkpwjdf.vm.dfdpwb/qiq,3510000,481!15,čftlê!CveĜkpwjdf,2+1,|  osobní  |  balk  
A,06.12.2023,12.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0289284:130qspefk.czu.32.:7/qiq,4060000,481!22,čftlê!CveĜkpwjdf,2+1,|  OV  
A,02.12.2023,12.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0288:89:850qspefk.czuv.32.84.n3.dftlf.cvefkpwjdf.vm.k.pqmfubmb/qiq,3380000,481!16,čftlê!CveĜkpwjdf,2+1,|  zateplen  |  aukc  
A,29.11.2023,12.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02889664350czu.32.71.n3.vm.dfdipwb.mjtpw.pls.dftlf.cvefkpwjdf/qiq,2890000,484!83,čftlê!CveĜkpwjdf,2+1,|  osobní  
A,28.11.2023,12.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02888922770qspefk.czuv.32.69.n.{mjw.vm.{bisbeoj/qiq,2395000,484!55,čftlê!CveĜkpwjdf,2+1,|  centrum  |  balk  
A,25.11.2023,12.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02887345180ob.qspefk.czu.32.ob.mjqof/qiq,2690000,481!12,čftlê!CveĜkpwjdf,2+1,|  zateplen  |  plastová okna  
A,22.11.2023,12.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02886278610qspefk.czu.32.78.n3.vm.efmojdlb.dftlf.cvefkpwjdf/qiq,3999000,481!21,čftlê!CveĜkpwjdf,2+1,|  družstevní  
X,21.11.2023,27.11.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02885454590qspebn.czu.32.65n3.qbslpwboj.wf.ewpsf.3y.tlmfq/qiq,3590000,481!12,čftlê!CveĜkpwjdf,2+1,|  osobní  |  po rekonstrukci  
A,15.11.2023,12.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu028826:5290qspefk.czuv.32.78n3/qiq,3999000,481!12,čftlê!CveĜkpwjdf,2+1,|  zateplen  
A,13.11.2023,12.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02881425480qspefk.czuv.32.66.n.dftlf.cvefkpwjdf.vm.obesb{oj/qiq,3275000,481!15,čftlê!CveĜkpwjdf,2+1,|  osobní  |  po rekonstrukci  |  zateplen  
A,11.11.2023,12.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0287:324360qspefk.czu.32.vmjdf.qflbsfotlb.dftlf.cvefkpwjdf/qiq,3450000,481!15,čftlê!CveĜkpwjdf,2+1,|  osobní  |  po rekonstrukci  |  centrum  |  balk  
A,10.11.2023,12.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0287:22:190qspefk.czuv.32.w.dftlzdi.cvefkpwjdjdi.vm.obesb{oj/qiq,3199000,481!15,čftlê!CveĜkpwjdf,2+1,|  osobní  |  zateplen  |  MHD  
X,10.11.2023,30.11.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02879985540qspefk.czuv.32.63.n.ezojo/qiq,1790000,484!75,čftlê!CveĜkpwjdf,2+1,|  družstevní  
A,07.11.2023,12.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02878726880qspefk.czuv.32.72.n.dftlf.cvefkpwjdf.vm.wfusob/qiq,2990000,481!16,čftlê!CveĜkpwjdf,2+1,|  zateplen  |  balk  |  plastová okna  
X,05.11.2023,27.11.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu028776::940qspefk.czuv.32.69.n.{mjw.vm.{bisbeoj/qiq,2495000,484!55,čftlê!CveĜkpwjdf,2+1,|  centrum  |  balk  
A,03.11.2023,12.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02876545:10qspefk.czu.32.pw.71.n33q.w.opwptubwcf.djimpwf.239528/qiq,2850000,484!74,čftlê!CveĜkpwjdf,2+1,|  osobní  |  OV  |  centrum  |  novostavb  |  balk  
A,21.10.2023,12.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0286:262730qspefk.czu.32.pw.87.n3.{bisbeb.w.djimpwfn.ep.238122/qiq,5250000,481!12,čftlê!CveĜkpwjdf,2+1,|  osobní  |  OV  |  centrum  |  zateplen  |  MHD  |  balk  
A,17.10.2023,12.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02868533690qspefk.esv{tufwojip.czuv.32.tvdif.wscof.d.cvefkpwjdf/qiq,3999000,481!17,čftlê!CveĜkpwjdf,2+1,|  OV  |  družstevní  |  zateplen  |  MHD  
A,16.10.2023,12.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02868272650qspefk.czu.32.73/qiq,2590000,485!12,čftlê!CveĜkpwjdf,2+1,|  osobní  |  balk  
A,15.10.2023,12.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02867681140qspefk.czuv.32.w.dfousv.dc/qiq,4230000,481!12,čftlê!CveĜkpwjdf,2+1,|  osobní  
X,15.10.2023,24.11.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02867665720qspefk.czuv.32/qiq,Dohodou,481!12,čftlê!CveĜkpwjdf,2+1,
A,13.10.2023,12.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02866571660qspefk.czuv.32.57.n.dftlf.cvefkpwjdf.vm.efmojdlb/qiq,3490000,481!17,čftlê!CveĜkpwjdf,2+1,|  osobní  
X,03.10.2023,08.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02861994990qspefk.{sflpotusvpwbofip.czuv.32.{mjw/qiq,2700000,484!55,čftlê!CveĜkpwjdf,2+1,|  osobní  |  OV  
X,01.10.2023,30.11.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02861121:30bqbsunbo.t.obeifsozn.wzimfefn.ob.npsf.w.bmcbojj/qiq,2800000,481!22,čftlê!CveĜkpwjdf,2+1,|  OV  
X,01.10.2023,30.11.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02861117260mvyvtoj.czu.t.wzimfefn.ob.npsf.w.bmcbojj/qiq,4060000,481!22,čftlê!CveĜkpwjdf,2+1,|  OV  
X,29.09.2023,28.11.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0285:247610czu.32c.69.n3.pw.opwf.isbez/qiq,2295000,484!44,čftlê!CveĜkpwjdf,2+1,|  osobní  |  OV  |  zateplen  |  balk  
